,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25,2020/5/26,2020/5/27,2020/5/28,2020/5/29,2020/5/30,2020/5/31,2020/6/1,2020/6/2,2020/6/3,2020/6/4,2020/6/5,2020/6/6,2020/6/7,2020/6/8,2020/6/9,2020/6/10,2020/6/11,2020/6/12,2020/6/13,2020/6/14,2020/6/15,2020/6/16,2020/6/17,2020/6/18,2020/6/19,2020/6/20,2020/6/21,2020/6/22,2020/6/23,2020/6/24,2020/6/25,2020/6/26,2020/6/27,2020/6/28,2020/6/29,2020/6/30,2020/7/1,2020/7/2,2020/7/3,2020/7/4,2020/7/5,2020/7/6,2020/7/7,2020/7/8,2020/7/9,2020/7/10,2020/7/11,2020/7/12,2020/7/13,2020/7/14,2020/7/15,2020/7/16,2020/7/17,2020/7/18,2020/7/19,2020/7/20,2020/7/21,2020/7/22,2020/7/23,2020/7/24,2020/7/25,2020/7/26,2020/7/27,2020/7/28,2020/7/29,2020/7/30,2020/7/31,2020/8/1,2020/8/2,2020/8/3,2020/8/4,2020/8/5,2020/8/6,2020/8/7,2020/8/8,2020/8/9,2020/8/10,2020/8/11,2020/8/12,2020/8/13,2020/8/14,2020/8/15,2020/8/16,2020/8/17,2020/8/18,2020/8/19,2020/8/20,2020/8/21,2020/8/22,2020/8/23,2020/8/24,2020/8/25,2020/8/26,2020/8/27,2020/8/28,2020/8/29,2020/8/30,2020/8/31,2020/9/1,2020/9/2,2020/9/3,2020/9/4,2020/9/5,2020/9/6,2020/9/7,2020/9/8,2020/9/9,2020/9/10,2020/9/11,2020/9/12,2020/9/13,2020/9/14,2020/9/15,2020/9/16,2020/9/17,2020/9/18,2020/9/19,2020/9/20,2020/9/21,2020/9/22,2020/9/23,2020/9/24,2020/9/25,2020/9/26,2020/9/27,2020/9/28,2020/9/29,2020/9/30,2020/10/1,2020/10/2,2020/10/3,2020/10/4,2020/10/5,2020/10/6,2020/10/7,2020/10/8,2020/10/9,2020/10/10,2020/10/11,2020/10/12,2020/10/13,2020/10/14,2020/10/15,2020/10/16,2020/10/17,2020/10/18,2020/10/19,2020/10/20,2020/10/21,2020/10/22,2020/10/23,2020/10/24,2020/10/25,2020/10/26,2020/10/27,2020/10/28,2020/10/29,2020/10/30,2020/10/31,2020/11/1,2020/11/2,2020/11/3,2020/11/4,2020/11/5,2020/11/6,2020/11/7,2020/11/8,2020/11/9,2020/11/10,2020/11/11,2020/11/12,2020/11/13,2020/11/14,2020/11/15,2020/11/16,2020/11/17,2020/11/18,2020/11/19,2020/11/20,2020/11/21,2020/11/22,2020/11/23,2020/11/24,2020/11/25,2020/11/26,2020/11/27,2020/11/28,2020/11/29,2020/11/30,2020/12/1,2020/12/2,2020/12/3,2020/12/4,2020/12/5,2020/12/6,2020/12/7,2020/12/8,2020/12/9,2020/12/10,2020/12/11,2020/12/12,2020/12/13,2020/12/14,2020/12/15,2020/12/16,2020/12/17,2020/12/18,2020/12/19,2020/12/20,2020/12/21,2020/12/22,2020/12/23,2020/12/24,2020/12/25,2020/12/26,2020/12/27,2020/12/28,2020/12/29,2020/12/30,2020/12/31,2021/1/1,2021/1/2,2021/1/3,2021/1/4,2021/1/5,2021/1/6,2021/1/7,2021/1/8,2021/1/9,2021/1/10,2021/1/11,2021/1/12,2021/1/13,2021/1/14,2021/1/15,2021/1/16,2021/1/17,2021/1/18,2021/1/19,2021/1/20,2021/1/21,2021/1/22,2021/1/23,2021/1/24,2021/1/25,2021/1/26,2021/1/27,2021/1/28,2021/1/29,2021/1/30,2021/1/31,2021/2/1,2021/2/2,2021/2/3,2021/2/4,2021/2/5,2021/2/6,2021/2/7,2021/2/8,2021/2/9,2021/2/10,2021/2/11,2021/2/12,2021/2/13,2021/2/14,2021/2/15,2021/2/16,2021/2/17,2021/2/18,2021/2/19,2021/2/20,2021/2/21,2021/2/22,2021/2/23,2021/2/24,2021/2/25,2021/2/26,2021/2/27,2021/2/28,2021/3/1
10001,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,6,7,8,5,5,7,9,10,10,10,7,7,11,11,11,11,11,8,12,13,12,11,10,9,7,6,10,10,7,4,9,3,6,7,5,7,6,8,3,2,2,1,1,2,1,2,3,2,3,0,0,1,0,4,2,1,0,2,4,2,5,1,1,1,4,5,5,1,0,4,2,3,0,4,3,0,0,2,1,3,0,0,0,2,4,2,2,1,0,0,0,2,0,0,2,0,0,0,1,1,0,3,0,1,1,3,0,1,3,0,1,2,1,1,4,2,0,0,0,4,1,1,0,2,1,2,0,0,0,2,0,0,0,1,2,1,0,1,2,0,3,4,3,0,0,0,0,0,0,0,2,0,0,0,1,4,0,2,2,0,0,1,0,0,1,0,0,0,0,3,0,1,3,3,0,5,3,0,2,2,2,0,0,0,2,1,1,0,1,1,1,0,0,0,1,0,0,1,4,0,0,1,0,2,0,5,2,0,0,1,1,0,0,0,0,3,3,2,1,3,1,0,1,2,2,2,2,0,1,0,0,4,2,1,7,0,1,2,6,2,3,7,9,3,12,3,4,4,7,6,4,4,3,4,8,4,5,7,3,5,8,5,10,10,0,4,3,6,7,5,5,3,5,7,4,6,12,3,6,5,6,7,12,7,3,4,4,2,7,9,8,2,1,4,7,8,16,12,17,10,17,2,7,13,2,10,17,3,7,5,10,13,12,7,6,9,11,5,14,10,7,4,5,4,6,10,9,11,6,6,6,12,7,9,6,7,3,11,4,6,4,7,3,8,3,15,9,3,8
10002,0,0,0,0,0,0,0,0,0,0,2,3,3,5,10,11,14,17,19,12,12,17,21,23,23,24,16,17,27,25,25,27,25,18,19,29,28,26,24,21,17,13,15,24,67,21,19,10,17,18,13,16,13,18,6,5,11,20,4,5,11,14,8,8,12,9,6,2,8,9,6,1,3,2,15,14,5,5,4,5,10,10,8,5,4,10,0,5,1,9,8,0,3,3,3,5,3,2,2,1,4,1,1,1,1,1,4,4,0,2,1,2,1,1,2,2,2,2,1,5,6,4,2,4,11,0,5,6,3,6,4,2,7,7,4,6,8,11,5,6,2,7,1,3,0,9,0,0,1,1,1,4,4,4,9,4,3,8,4,3,6,5,1,1,4,3,7,5,1,1,4,1,5,2,1,3,2,0,5,2,1,2,1,0,2,0,1,2,3,3,0,3,3,0,0,0,3,0,4,4,1,0,2,1,3,2,4,2,0,1,2,1,10,2,1,1,2,2,1,3,0,2,4,0,2,7,4,0,3,0,4,2,3,8,3,5,4,0,10,8,8,6,7,4,1,0,0,9,2,11,8,2,2,5,7,8,6,15,11,11,6,14,8,3,25,10,16,9,9,11,13,13,6,16,14,15,14,12,12,17,12,18,31,18,21,16,15,42,50,17,31,50,25,18,33,12,38,49,27,33,39,25,41,29,24,27,48,17,31,38,22,40,51,40,48,45,49,25,44,39,39,39,38,25,32,45,41,46,46,47,33,29,40,37,25,33,19,22,13,18,10,43,32,29,38,38,35,26,37,22,28,22,18,28,45,37,37,22,29,31,34,21,38,24,31
10003,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,6,8,8,6,5,7,9,10,11,11,7,7,12,11,11,12,11,8,12,13,13,12,11,9,8,6,6,5,33,6,8,5,5,8,4,7,6,4,1,2,3,3,1,5,2,3,4,3,3,4,1,0,3,3,1,0,6,2,2,1,1,4,1,1,2,4,2,0,0,2,1,2,3,0,0,0,1,2,0,0,2,1,0,1,0,0,2,0,0,0,0,1,2,2,0,1,1,3,1,1,0,4,1,2,1,1,1,2,6,0,2,2,2,2,0,2,0,0,1,2,1,1,0,4,1,2,0,1,1,2,0,0,3,3,1,1,0,0,0,0,0,0,3,0,1,0,2,1,1,1,1,0,0,0,0,3,4,2,1,1,0,1,0,1,0,4,0,1,3,1,2,4,2,2,0,2,4,4,1,1,4,2,0,2,1,7,2,0,0,1,1,0,2,3,0,2,3,2,2,5,4,2,3,3,2,3,4,1,1,3,4,1,4,2,3,6,5,0,1,6,2,1,2,3,3,3,3,6,3,4,1,6,1,2,8,0,1,5,7,6,8,6,5,7,11,8,9,5,10,16,20,7,6,5,16,8,6,11,4,4,13,4,22,11,0,6,5,6,7,5,5,8,10,8,14,11,16,1,20,14,7,6,10,15,8,8,10,16,14,7,15,8,9,5,11,8,20,26,15,9,17,16,12,27,17,24,10,20,10,21,5,22,21,27,11,10,13,30,24,23,13,7,11,2,10,13,17,18,7,7,6,11,12,18,19,7,6,17,16,24,14,16,8,6,16,20,23,18,18
10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,3,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,9,1,1,1,1,1,1,2,1,1,0,0,0,1,1,6,1,0,1,2,0,1,1,1,1,2,2,1,0,1,3,4,2,5,2,2,8,6,8,5,0,2,1,3,0,3,1,0,2,2,0,0,3,0,4,3,2,1,2,0,0,2,1,2,0,0,0,2,2,0,2,0,0,1,1,0,3,0,1,2,0,0,0,2,0
10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0,0,2,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1,2,1,1,0,1,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,0,1,1,1,0,1,3,0,0,1,0,0,1,0,0,1,1,0,0,0,4,2,0,4,2,0,3,2,3,4,3,3,4,0,3,1,3,4,0,4,0,3,0,2,3,0,2,2,3,0,4,3,1,2,2,2,2,5,4,0,2,5,4,2,3,2,0,0,0,1,0,1,2,2,0,1,2,0,1,3,3,7,5,1,0,0,5,2,0,1,1,1,1,2,4,1,1,1,2,3,2,2,3,1,1,0,0,2,0,1
10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,3,1,1,0,2,3,0,3,0,0,0,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,2,0,1,2,1,2,1,0,0,0,2,2,1,1,0,0,0,4,2,2,0,1,1,0,1,0,1,0,1,1,0,0,1,1,2,1,1,0,2,2,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,2,1
10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,4,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,2,0,1,0,0,2,0,2,1,1,1,2,3,2,2,2,3,1,2,3,4,0,7,3,1,0,2,3,2,5,0,0,1,1,1,1,1,1,0,2,1,2,2,0,2,1,1,3,5,3,1,0,2,2,0,6,1,2,0,1,0,4,4,3,3,4,2,0,2,3,2,1,4,2,0,4,3,5,5,3,1,3,0,2,2,4,3,1,1,1,1,2,4,3,4,4,4,1,3,1,5,0,0,3,1,1,2,1,1,4,1,1,2,0,3
10009,0,0,0,0,0,0,0,0,0,0,1,2,2,3,7,8,10,12,13,8,8,11,14,16,16,16,11,11,19,17,17,18,17,12,9,20,19,18,16,14,12,9,8,18,63,10,14,7,17,12,8,11,9,6,8,3,5,8,5,5,4,4,2,3,3,1,2,1,8,6,0,0,5,1,9,5,2,4,1,1,4,6,1,3,2,4,0,6,5,4,2,0,0,0,1,1,0,0,2,2,2,4,0,1,0,1,1,2,0,1,3,3,1,1,2,1,4,0,2,2,2,2,2,4,1,0,2,6,1,2,0,4,3,1,1,5,3,0,1,2,5,3,0,2,0,4,0,3,4,0,5,2,3,1,3,3,3,3,5,1,0,0,1,2,2,1,1,0,3,0,2,2,1,2,1,2,0,1,0,2,0,2,0,2,0,0,0,1,0,0,0,5,4,1,2,2,7,4,4,2,2,1,2,1,2,1,0,1,2,2,0,1,4,1,1,3,1,2,0,5,0,3,4,3,0,1,3,3,5,0,3,4,0,8,2,0,2,3,1,4,4,3,3,4,5,4,0,2,5,5,5,0,4,5,8,5,10,13,10,5,8,7,13,7,13,11,14,11,2,12,11,11,5,18,11,17,18,8,6,10,12,14,11,6,7,5,5,13,25,7,7,27,9,13,9,15,13,15,20,21,6,10,12,12,12,16,27,9,15,20,15,15,27,26,22,12,29,23,21,28,12,28,19,13,14,20,15,25,21,16,22,17,24,27,28,31,15,17,14,7,16,25,22,25,9,9,8,19,27,33,14,12,10,17,32,25,14,14,21,10,16,23,26,24,23
10010,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,2,2,3,4,4,5,5,3,3,6,5,5,5,5,4,2,6,5,5,5,4,3,3,3,6,13,2,5,5,1,3,1,3,3,5,1,1,2,1,1,0,2,4,3,0,3,0,2,0,2,0,1,0,0,3,4,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,3,0,3,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,3,0,1,4,0,1,1,1,1,4,0,0,1,0,0,2,4,4,1,2,1,1,1,0,3,0,0,1,0,0,1,0,0,0,1,0,2,1,4,0,2,1,0,2,3,2,1,0,2,0,1,0,0,1,1,2,1,2,0,1,2,1,3,0,0,0,2,0,0,0,0,5,2,1,1,1,0,0,1,0,2,2,0,1,1,0,0,2,0,1,3,2,2,1,1,0,2,1,0,0,3,1,0,1,2,1,2,1,3,1,2,0,0,4,6,2,0,0,3,3,3,3,3,2,0,2,1,5,4,3,2,2,3,0,6,4,0,6,4,5,4,8,2,4,8,10,3,3,3,1,8,2,9,6,8,7,9,4,4,69,7,1,1,1,1,1,5,2,7,8,9,5,8,9,3,5,13,9,6,8,7,4,7,13,13,7,9,5,4,7,8,14,10,11,11,12,10,17,13,16,7,16,8,10,12,11,13,13,13,10,9,11,8,13,15,2,3,6,10,6,14,11,7,6,6,6,7,5,6,3,4,4,9,12,8,6,2,12,5,3,6,9,9,8
10011,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,6,7,9,10,6,6,9,11,12,12,12,8,9,14,13,13,14,14,9,11,15,15,14,12,11,9,7,4,6,10,5,4,6,4,9,5,8,7,11,5,2,2,1,1,1,1,5,2,3,6,2,2,1,2,0,1,1,2,1,5,2,1,4,1,0,4,8,4,1,1,4,1,3,1,3,0,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1,3,0,0,1,0,0,1,4,0,0,0,1,0,1,2,1,1,0,5,4,0,3,1,3,1,1,1,5,5,1,2,2,4,0,2,3,3,7,0,0,0,1,0,0,1,1,2,2,1,2,2,1,0,2,0,1,0,1,2,3,1,4,2,0,3,0,2,1,0,1,2,4,0,1,0,1,1,0,2,2,1,1,1,1,2,3,1,0,2,0,0,2,2,1,1,0,0,0,1,1,1,0,3,3,0,0,5,3,5,1,0,3,3,1,2,1,1,3,3,1,9,0,10,3,0,2,6,6,5,5,4,7,2,3,2,4,4,10,2,1,7,7,10,7,10,9,11,6,4,11,13,6,8,6,3,5,10,7,10,7,6,10,12,15,14,6,9,7,8,8,5,6,4,4,12,16,2,7,12,13,10,5,5,12,15,15,7,15,12,6,16,6,11,11,12,3,11,7,10,19,16,13,20,13,10,10,23,22,22,18,12,10,19,19,13,17,8,12,9,13,16,22,13,5,7,5,9,7,17,16,12,13,13,12,19,11,17,15,7,9,10,16,18,3,7,10,7,20,9,13,8,10
